band,lo,hi,sensor_11,sensor_12,sensor_04,sensor_07
100~125,100,125,0.6220269455858548,0.6123306188519487,0.6192154152658449,0.607549670028639
75~100,75,100,0.7031138089901632,0.6847945959407297,0.6967733532561324,0.6843864774000747
50~75,50,75,0.8227350516747602,0.802754376789939,0.806309998754825,0.7934811106960528
30~50,30,50,0.9314957041464326,0.9168292865147554,0.9238792180301332,0.9032423733034491
0~30,0,30,0.9935976217158511,0.9874737890673639,0.9905560743784502,0.9837891088697962
