margin,rmse,phm08,late_ratio,mae
0,9.07042592400308,130.44902348439638,0.49,6.758580695935351
5,9.771622844382804,122.90997229062708,0.28,8.014967761607984
10,12.488233522017484,167.41382244064005,0.18,10.605773884699618
15,16.088437211258576,259.8587968706157,0.07,14.045966650803733
20,20.044121324978196,406.48781617682596,0.03,18.040509471518916
25,24.050567814586667,617.4002673029398,0.01,22.007196826051768
30,27.90391702930535,907.8498691607123,0.0,25.77870854765253
