subset,sensor,cond_gap,degradation,ratio
FD001,sensor_02,0.0,2.2958657245654894,0.0
FD001,sensor_03,0.0,2.205077069544363,0.0
FD001,sensor_04,0.0,2.5638477953896643,0.0
FD001,sensor_07,0.0,2.4775414115869014,0.0
FD001,sensor_08,0.0,2.186564313218049,0.0
FD001,sensor_09,0.0,1.5109498881953973,0.0
FD001,sensor_11,0.0,2.6384401438960468,0.0
FD001,sensor_12,0.0,2.5364096623026624,0.0
FD001,sensor_13,0.0,2.177032862253521,0.0
FD001,sensor_14,0.0,1.189495856830455,0.0
FD001,sensor_15,0.0,2.4409260741744,0.0
FD001,sensor_17,0.0,2.2859400306039523,0.0
FD001,sensor_20,0.0,2.354027659490049,0.0
FD001,sensor_21,0.0,2.401653760734084,0.0
FD003,sensor_02,0.0,2.3663321022971777,0.0
FD003,sensor_03,0.0,2.443647263195254,0.0
FD003,sensor_04,0.0,2.682712672561145,0.0
FD003,sensor_06,0.0,0.5270855295233933,0.0
FD003,sensor_07,0.0,1.2211699233247446,0.0
FD003,sensor_08,0.0,2.28783478715128,0.0
FD003,sensor_09,0.0,2.253677469039654,0.0
FD003,sensor_10,0.0,1.4787067013872488,0.0
FD003,sensor_11,0.0,2.811085148245986,0.0
FD003,sensor_12,0.0,1.28390143621645,0.0
FD003,sensor_13,0.0,2.2939547634947433,0.0
FD003,sensor_14,0.0,1.9761385105848108,0.0
FD003,sensor_17,0.0,2.5444250924732383,0.0
FD003,sensor_20,0.0,0.20911222183507702,0.0
FD002,sensor_02,238.32102647275832,2.0983062887809276,113.57780689453963
FD002,sensor_03,57.623215361121126,2.016475967656909,28.57619742826777
FD002,sensor_04,45.73632770229535,2.2951908408531403,19.92702606171729
FD002,sensor_06,4429.996959065804,0.6469091412691008,6847.94305174769
FD002,sensor_07,709.195935757596,1.2244958187884871,579.1738320995432
FD002,sensor_08,2503.9383027945787,1.6022979184362993,1562.717066522935
FD002,sensor_09,60.55294956745928,1.3075163832234455,46.31142702638793
FD002,sensor_10,246.99469776688971,0.43310194048100353,570.2922907539438
FD002,sensor_11,45.01481067886899,2.4984061988289055,18.017410739682393
FD002,sensor_12,829.5011743088592,1.3446170025466055,616.9051653651895
FD002,sensor_13,1801.8625586223345,1.6218855023441006,1110.9677939768956
FD002,sensor_14,17.04636887877431,0.9866269186373603,17.277421238736533
FD002,sensor_15,63.657836638744804,2.428877279946365,26.2087496821373
FD002,sensor_17,60.01779019230877,2.102717983254161,28.54295757694781
FD002,sensor_20,214.46937840277263,1.1989413554685797,178.8822926363667
FD002,sensor_21,216.77510497134188,1.1850665061315986,182.92231182784738
FD004,sensor_02,220.67305483349574,1.811312614303535,121.83046321815984
FD004,sensor_03,50.77472826327677,2.322982547226975,21.857559078043153
FD004,sensor_04,40.45650738067076,2.5973471192354576,15.576088032692118
FD004,sensor_06,1073.1905927670516,0.3622697349306077,2962.4075358451346
FD004,sensor_07,218.75520580452798,0.6736970826772885,324.7085543775691
FD004,sensor_08,2286.4476840340812,1.3749504248102498,1662.930999384667
FD004,sensor_09,59.62287606354916,2.2209339421416994,26.8458574711382
FD004,sensor_10,77.68479898675949,2.4172962425847158,32.13706190338273
FD004,sensor_11,38.48045368586893,2.7167572918773746,14.164111678624625
FD004,sensor_12,219.84510667278596,0.7014248396955569,313.42646315206986
FD004,sensor_13,1658.4987877520607,1.4283499513282942,1161.1291660070697
FD004,sensor_14,17.36978005793165,2.0581729401008717,8.439417174088563
FD004,sensor_15,36.73593730072528,0.39591665773238166,92.78704642318131
FD004,sensor_17,52.69067929443211,2.3754873901305626,22.180997261170937
